597 24
28667.0,27611.0,25908.0,23817.0,22198.0,20975.0,20460.0,19555.0,19113.0,18170.0,19388.0,21105.0,21984.0,23049.0,23694.0,22997.0,22291.0,22653.0,24749.0,27906.0,28978.0,30398.0,30329.0,29593.0
28667.0,25834.0,23819.0,22789.0,22176.0,21931.0,23000.0,26260.0,29358.0,32357.0,34958.0,35740.0,35805.0,35361.0,34153.0,32807.0,32562.0,33128.0,35595.0,37599.0,37075.0,36815.0,35374.0,34358.0
33069.0,29672.0,27621.0,26092.0,25278.0,24669.0,25341.0,27826.0,30961.0,33869.0,36139.0,37156.0,36637.0,36317.0,34548.0,33489.0,33285.0,33104.0,36083.0,38457.0,38000.0,37595.0,35822.0,34537.0
33419.0,30131.0,27777.0,26247.0,25367.0,24912.0,25381.0,28025.0,31041.0,34105.0,36280.0,37452.0,37327.0,36575.0,34701.0,33678.0,33497.0,33864.0,36248.0,38083.0,38011.0,37587.0,35985.0,34809.0
34102.0,30816.0,28384.0,26793.0,25627.0,25456.0,25340.0,28234.0,31033.0,33539.0,35466.0,36399.0,35934.0,35422.0,33619.0,32026.0,31490.0,31977.0,33319.0,34489.0,33678.0,33557.0,32787.0,32366.0
32882.0,30475.0,28053.0,25736.0,24092.0,23188.0,22537.0,22165.0,22104.0,22475.0,25257.0,26619.0,27267.0,27069.0,26634.0,25632.0,24881.0,25027.0,26941.0,30224.0,31149.0,31864.0,32041.0,31931.0
31387.0,28701.0,26053.0,24242.0,23286.0,22659.0,21654.0,21650.0,21766.0,22146.0,24407.0,26390.0,27212.0,27476.0,27856.0,27253.0,26834.0,26599.0,28663.0,32305.0,33346.0,34315.0,33701.0,32308.0
30554.0,27361.0,25308.0,24165.0,23463.0,23502.0,24321.0,28148.0,33992.0,35894.0,38027.0,38550.0,38150.0,37822.0,35991.0,34884.0,35228.0,35554.0,37525.0,39886.0,39313.0,39034.0,37041.0,35020.0
33323.0,30188.0,28166.0,26972.0,26094.0,25943.0,26459.0,29481.0,34137.0,36458.0,37832.0,38429.0,37955.0,37312.0,35692.0,34692.0,34749.0,35182.0,37543.0,40129.0,40057.0,39358.0,37400.0,35029.0
33853.0,30489.0,28770.0,27098.0,26154.0,25699.0,26567.0,29806.0,34636.0,36859.0,38095.0,38743.0,38137.0,37607.0,35929.0,34999.0,35198.0,35599.0,37537.0,40223.0,40252.0,39350.0,37120.0,35277.0
33730.0,30615.0,28276.0,27016.0,26227.0,26287.0,26499.0,29874.0,34560.0,36228.0,37936.0,38252.0,37613.0,37238.0,35143.0,34249.0,34210.0,34678.0,36373.0,39556.0,39666.0,38989.0,37199.0,35172.0
33745.0,30654.0,28369.0,27356.0,26599.0,26249.0,26775.0,30189.0,34900.0,36817.0,38014.0,38328.0,37764.0,37046.0,35126.0,33925.0,33599.0,33640.0,35677.0,38255.0,38050.0,37246.0,35753.0,34576.0
34221.0,31206.0,28760.0,26749.0,25651.0,24800.0,24218.0,25091.0,26096.0,27525.0,30568.0,32032.0,31850.0,31316.0,30465.0,29463.0,28774.0,28530.0,29910.0,33542.0,34026.0,34268.0,33604.0,32438.0
32108.0,29359.0,26904.0,24742.0,23652.0,22959.0,22341.0,22253.0,21997.0,22747.0,24996.0,27051.0,27620.0,27636.0,28437.0,27345.0,27143.0,26728.0,28194.0,31749.0,32818.0,33804.0,33441.0,32033.0
